Dataset	MAG	Superkindom	Phylumn	Class	Order	Family	Genu	Species	Completeness	Contamination	Size (bp)	Total_cds	Category_L	Percentage
DSGC	10B (CNS0876619)_bin.42	d__Bacteria	p__Omnitrophota	c__Koll11	o__JAGLLT01	f__JAGLLT01	g__	s__	90.86	0.063	1339717	1339	89	0.0665
DSGC	10C (CNS0876620)_bin.32	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__GCA-2748055	g__GCA-2748055	s__	98.92	1.344	3957100	3448	142	0.0412
DSGC	10C (CNS0876620)_bin.42	d__Archaea	p__Thermoplasmatota	c__EX4484-6	o__EX4484-6	f__EX4484-6	g__	s__	98	4.8	4277989	3245	207	0.0638
DSGC	10C (CNS0876620)_bin.43	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__Krumholzibacteriales	f__Krumholzibacteriaceae	g__	s__	100	3.296	3139610	2803	105	0.0375
DSGC	10C (CNS0876620)_bin.44	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__JAABVY01	f__JAHJOQ01	g__JAHJOQ01	s__	92.85	2.564	3194472	3043	135	0.0444
DSGC	10C (CNS0876620)_bin.45	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__PGXB01	g__JAAERC01	s__	95.53	3.361	3429663	2980	131	0.044
DSGC	10C (CNS0876620)_bin.9	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__UBA10806	f__4484-95	g__JAGGSN01	s__	95.43	2.197	3371279	2975	119	0.04
DSGC	10D (CNS0876621)_bin.33	d__Bacteria	p__Fermentibacterota	c__Fermentibacteria	o__Fermentibacterales	f__Fermentibacteraceae	g__Aegiribacteria	s__	92.13	3.663	3185297	3055	144	0.0471
DSGC	10D (CNS0876621)_bin.7	d__Bacteria	p__JAAXVQ01	c__JAAXVQ01	o__JAAXVQ01	f__JAAXVQ01	g__	s__	97.68	3.37	2913876	2299	121	0.0526
DSGC	10E (CNS0876622)_bin.14	d__Bacteria	p__4484-113	c__4484-113	o__4484-113	f__JAFGCY01	g__JAFGCY01	s__	94.82	0	4102719	3376	147	0.0435
DSGC	10E (CNS0876622)_bin.17	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__UBA2199	f__UBA2199	g__UBA647	s__	91.84	3.418	2898060	2753	141	0.0512
DSGC	10E (CNS0876622)_bin.35	d__Bacteria	p__4484-113	c__JAJVIF01	o__JAGGVT01	f__JAGGVT01	g__JAGGVT01	s__	90.6	1.851	3770544	2942	130	0.0442
DSGC	10E (CNS0876622)_bin.3	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__JAHIKV01	s__	98.78	0	4111075	3599	182	0.0506
DSGC	10F (CNS0876623)_bin.20	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__UBA5794	f__UBA11373	g__	s__	92.56	4.273	2683799	2745	166	0.0605
DSGC	10F (CNS0876623)_bin.27	d__Archaea	p__Asgardarchaeota	c__Thorarchaeia	o__Thorarchaeales	f__Thorarchaeaceae	g__WTCK01	s__	92.99	4.205	3185978	3003	126	0.042
DSGC	10F (CNS0876623)_bin.36	d__Bacteria	p__WOR-3	c__32-111	o__QNBC01	f__QNBC01	g__JAGLYS01	s__JAGLYS01	98.9	0	2061744	2012	114	0.0567
DSGC	12A (CNS0876624)_bin.9	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__	93.4	0	1441529	1457	120	0.0824
DSGC	12B (CNS0876625)_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__	s__	90.14	1.337	2981097	2853	176	0.0617
DSGC	12E (CNS0876628)_bin.20	d__Bacteria	p__Acidobacteriota	c__Aminicenantia	o__UBA2199	f__UBA2199	g__	s__	94.47	1.709	2608530	2408	133	0.0552
DSGC	12E (CNS0876628)_bin.25	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__JAJRTA01	s__	97.8	2.297	3538126	3003	153	0.0509
DSGC	12E (CNS0876628)_bin.38	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__	s__	91.14	1.098	3034204	2868	114	0.0397
DSGC	12F (CNS0876629)_bin.20	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__AB-539-J10	g__JAGMDB01	s__	91.91	0.11	1421384	1477	85	0.0575
DSGC	12F (CNS0876629)_bin.28	d__Bacteria	p__Desulfobacterota_C	c__Deferrisomatia	o__Deferrisomatales	f__BM512	g__	s__	94.32	4.836	2793818	3042	117	0.0385
DSGC	12F (CNS0876629)_bin.58	d__Bacteria	p__Fermentibacterota	c__Fermentibacteria	o__Fermentibacterales	f__Fermentibacteraceae	g__Aegiribacteria	s__	96.08	1.098	3110652	2848	134	0.0471
DSGC	12F (CNS0876629)_bin.6	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Sedimentisphaerales	f__SG8-4	g__CAJVYK01	s__	94.88	1.704	2324077	2107	95	0.0451
DSGC	1A (CNS0876630)_bin.6	d__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__SZUA-226	s__	91.88	3.11	2310639	2421	105	0.0434
DSGC	1B (CNS0876631)_bin.1	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Methylomirabilales	f__CSP1-5	g__CSP1-5	s__CSP1-5	95.72	3.632	2224216	2406	101	0.042
DSGC	1B (CNS0876631)_bin.4	d__Bacteria	p__Desulfobacterota	c__Syntrophobacteria	o__BM002	f__BM002	g__BM002	s__	93.6	2.58	2893568	2953	118	0.04
DSGC	1B (CNS0876631)_bin.8	d__Bacteria	p__Planctomycetota	c__Brocadiia	o__Brocadiales	f__2-02-FULL-50-16-A	g__JAMXCW01	s__	94.21	3.512	1867018	2124	93	0.0438
DSGC	1C (CNS0876632)_bin.15	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__	99.94	0.962	6009109	5607	181	0.0323
DSGC	1D (CNS0876633)_bin.19	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus	99.13	0.493	2418893	2365	117	0.0495
DSGC	1D (CNS0876633)_bin.21	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__SM23-62	g__SM23-62	s__	91.85	2.698	5045654	4833	164	0.0339
DSGC	1F (CNS0876635)_bin.13	d__Bacteria	p__UBA10199	c__UBA10199	o__2-02-FULL-44-16	f__JAAZCA01	g__JAFGMW01	s__	92.01	2.521	2074313	2023	83	0.041
DSGC	1F (CNS0876635)_bin.28	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__JAADJA01	g__JAADJA01	s__	95.37	2.598	4781943	3964	200	0.0505
DSGC	1G (CNS0876636)_bin.13	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__AKS1	f__AKS1	g__	s__	92.48	1.487	2274311	2241	93	0.0415
DSGC	1G (CNS0876636)_bin.27	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__	s__	95.97	0	3953778	3531	139	0.0394
DSGC	7A (CNS0876637)_bin.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__PS1	f__Thioglobaceae	g__Ruthia	s__	99.17	0	1918796	2364	306	0.1294
DSGC	7B (CNS0876638)_bin.34	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__Kiritimatiellales	f__Pontiellaceae	g__Pontiella	s__	94.08	2.732	2479854	2341	155	0.0662
DSGC	7C (CNS0876639)_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Halopseudomonas	s__	99.46	0.704	3593857	3352	150	0.0447
DSGC	7C (CNS0876639)_bin.11	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae	g__Spongiibacter	s__Spongiibacter	99.13	0	3440651	3208	150	0.0468
DSGC	7C (CNS0876639)_bin.14	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Alteromonas	s__Alteromonas	97.43	0.505	4033989	3525	157	0.0445
DSGC	7C (CNS0876639)_bin.16	d__Bacteria	p__Desulfobacterota_D	c__UBA1144	o__UBA2774	f__	g__	s__	94.11	2.521	2321050	2540	118	0.0465
DSGC	7C (CNS0876639)_bin.17	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__RBG-16-68-12	f__JAJISG01	g__JAJISK01	s__	92.93	0	1392046	1655	90	0.0544
DSGC	7C (CNS0876639)_bin.18	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__	99.62	0.238	3903689	3520	132	0.0375
DSGC	7C (CNS0876639)_bin.19	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Castellaniella	s__	98.57	0.766	3120523	3015	195	0.0647
DSGC	7C (CNS0876639)_bin.21	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__JAAXGF01	f__JAAXGF01	g__	s__	90.13	0	2674436	2796	104	0.0372
DSGC	7C (CNS0876639)_bin.23	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Emcibacteraceae	g__Paremcibacter	s__	99.5	1.304	3004046	2804	117	0.0417
DSGC	7C (CNS0876639)_bin.25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Algoriphagus	s__Algoriphagus	95.45	2.036	3964869	3864	169	0.0437
DSGC	7E (CNS0876641)_bin.30	d__Bacteria	p__JAGLTZ01	c__JAGLTZ01	o__JAGLTZ01	f__JAGLTZ01	g__JAGLTZ01	s__	90.04	2.179	3006458	2774	104	0.0375
DSGC	7E (CNS0876641)_bin.44	d__Bacteria	p__Desulfobacterota_F	c__G020345765	o__G020345765	f__G020345765	g__G020345765	s__	91.93	0.161	3677326	3318	136	0.041
DSGC	7E (CNS0876641)_bin.48	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__SOJC01	g__SOJC01	s__SOJC01	90.54	3.958	1109734	1328	65	0.0489
DSGC	FDZ031YE10-15 (OES00301251)_bin.13	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__FEB-12	g__JACZWU01	s__JACZWU01	94.5	0	2810001	2514	128	0.0509
DSGC	FDZ031YE10-15 (OES00301251)_bin.18	d__Bacteria	p__RBG-13-61-14	c__	o__	f__	g__	s__	90.1	1.935	5149221	4921	204	0.0415
DSGC	FDZ031YE10-15 (OES00301251)_bin.28	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA11222	f__UBA11222	g__UBA11222	s__	98.17	4.739	3245353	3361	160	0.0476
DSGC	FDZ031YE10-15 (OES00301251)_bin.34	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__	92.28	3.742	2870097	3046	198	0.065
DSGC	FDZ031YE5-10 (OES00301252)_bin.11	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA2979	f__UBA2979	g__	s__	91.25	3.06	2318286	2436	112	0.046
DSGC	FDZ033-Bk0-2 (OES00301255)_bin.50	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__UBA8639	g__UBA8639	s__	93.12	0.05	4456339	5424	329	0.0607
DSGC	FDZ033-Bk20-22 (OES00301259)_bin.1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium	97.7	1.855	7015816	7664	404	0.0527
DSGC	FDZ033-Bk4-6 (OES00301261)_bin.11	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__SZUA-336	f__SZUA-336	g__SMWZ01	s__SMWZ01	95.16	0.322	3574984	3499	119	0.034
DSGC	FDZ033-GG0-2 (OES00301264)_bin.122	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__PLA5	g__	s__	96.55	4.231	6877097	6084	390	0.0641
DSGC	FDZ033-GG0-2 (OES00301264)_bin.146	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__	90.21	3.969	2516554	2794	116	0.0415
DSGC	FDZ033-GG0-2 (OES00301264)_bin.154	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium_A	s__Hyphomicrobium_A	90.08	2.047	2462159	2682	137	0.0511
DSGC	FDZ033-GG0-2 (OES00301264)_bin.170	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__UBA11606	g__	s__	91.99	1.709	3896087	4087	182	0.0445
DSGC	FDZ033-GG0-2 (OES00301264)_bin.37	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__SZUA-336	f__SZUA-336	g__SMWZ01	s__	91.29	0.645	2851546	2779	104	0.0374
DSGC	FDZ033-GG0-2 (OES00301264)_bin.59	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	94.31	0	5099459	4473	187	0.0418
DSGC	FDZ033-GG0-2 (OES00301264)_bin.90	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Longimicrobiales	f__UBA6960	g__UBA2982	s__	90.2	4.395	3182054	3025	147	0.0486
DSGC	FDZ033-GG8-10 (OES00301268)_bin.38	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter	95.9	1.835	2810584	2700	104	0.0385
DSGC	FDZ033-RR2-4 (OES00301279)_bin.107	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__SCGC-AAA003-L08	f__TS1B11	g__TS1B11	s__	93.4	1.292	2002759	2075	84	0.0405
DSGC	FDZ033-RR2-4 (OES00301279)_bin.33	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Lentisphaerales	f__Lentisphaeraceae	g__	s__	96.62	4.083	3388743	3016	215	0.0713
DSGC	FDZ033-RR2-4 (OES00301279)_bin.83	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA6615	f__UBA6615	g__	s__	91.91	2.753	3498210	3602	163	0.0453
DSGC	FDZ033-RR2-4 (OES00301279)_bin.97	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__SM1A02	g__JADFOJ01	s__	95.12	4.493	3631288	3258	164	0.0503
DSGC	FDZ033-YBk0-2 (OES00301283)_bin.59	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__JAHFOH01	g__	s__	94.82	0	1416933	1647	80	0.0486
DSGC	FDZ033-YG0-2 (OES00301289)_bin.108	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__SMWR01	g__	s__	92.41	1.935	5109475	4892	173	0.0354
DSGC	FDZ033-YG0-2 (OES00301289)_bin.11	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__JAAXGF01	f__JAAXGF01	g__	s__	98.26	2.608	3118063	3102	178	0.0574
DSGC	FDZ033-YG0-2 (OES00301289)_bin.36	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__SZUA-336	f__SZUA-336	g__JAFDDB01	s__	93.54	2.903	3356593	3330	141	0.0423
DSGC	FDZ033-YG2-4 (OES00301291)_bin.102	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__JAAELL01	s__	96.77	3.942	4781544	3886	179	0.0461
DSGC	FDZ033-YG2-4 (OES00301291)_bin.118	d__Bacteria	p__Acidobacteriota	c__Polarisedimenticolia	o__Gp22-AA2	f__Gp22-AA2	g__	s__	90.71	1.923	3545573	3102	167	0.0538
DSGC	FDZ033-YG2-4 (OES00301291)_bin.121	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__	s__	96.69	0.693	3616079	3353	188	0.0561
DSGC	FDZ033-YG2-4 (OES00301291)_bin.138	d__Bacteria	p__Hydrogenedentota	c__Hydrogenedentia	o__Hydrogenedentiales	f__GCA-2746185	g__	s__	98.47	3.296	4021563	3708	177	0.0477
DSGC	FDZ033-YG2-4 (OES00301291)_bin.13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__	s__	91.96	2.38	3007436	2792	107	0.0383
DSGC	FDZ033-YG2-4 (OES00301291)_bin.140	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__Io17-Chloro-G2	s__	92.73	1.386	4520123	4273	210	0.0491
DSGC	FDZ033-YG2-4 (OES00301291)_bin.14	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Methyloligellaceae	g__Methyloceanibacter	s__	92.77	3.038	2277498	2356	162	0.0688
DSGC	FDZ033-YG2-4 (OES00301291)_bin.153	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA6930	g__GCA-2687015	s__	90.05	2.903	4196108	4050	161	0.0398
DSGC	FDZ033-YG2-4 (OES00301291)_bin.154	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__PALSA-1355	g__LB-PLM-3	s__	94.14	2.873	5666390	4955	186	0.0375
DSGC	FDZ033-YG2-4 (OES00301291)_bin.25	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SAR202	f__VGZR01	g__	s__	98.67	0.198	3373032	3135	150	0.0478
DSGC	FDZ033-YG2-4 (OES00301291)_bin.47	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__GCA-002748355	g__	s__	90.9	2.272	6840781	5330	263	0.0493
DSGC	FDZ033-YG2-4 (OES00301291)_bin.48	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA1151	f__Bin127	g__	s__	95.37	0.198	3229058	2985	159	0.0533
DSGC	FDZ033-YG2-4 (OES00301291)_bin.58	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__WVZY01	f__JAKEHA01	g__	s__	97.8	1.098	2950054	2571	109	0.0424
DSGC	FDZ033-YG2-4 (OES00301291)_bin.68	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__BMS3BBIN02	s__	91.02	1.329	2083438	2255	105	0.0466
DSGC	FDZ033-YG2-4 (OES00301291)_bin.72	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__SAR202	f__UBA11138	g__	s__	98.67	1.881	5150352	4770	315	0.066
DSGC	FDZ033-YG2-4 (OES00301291)_bin.91	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA8366	f__GCA-2717185	g__MarineAlpha4-Bin1	s__	91.43	1.086	3861198	3907	126	0.0322
DSGC	FDZ033-YG4-6 (OES00301292)_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA4486	f__UBA4486	g__SMWN01	s__SMWN01	96.03	0.469	2623108	2751	197	0.0716
DSGC	FDZ033-YG4-6 (OES00301292)_bin.4	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__JACZRM01	s__JACZRM01	96.69	1.188	4328214	4210	296	0.0703
DSGC	FDZ036-RY0-2 (OES00301295)_bin.25	d__Bacteria	p__Krumholzibacteriota	c__Krumholzibacteria	o__WVZY01	f__WVZY01	g__	s__	100	2.197	3574524	3237	135	0.0417
DSGC	FDZ036-RY0-2 (OES00301295)_bin.3	d__Bacteria	p__Latescibacterota	c__UBA2968	o__UBA2968	f__UBA2968	g__	s__	96.15	2.197	4554413	4350	160	0.0368
DSGC	FDZ036-Y0-2 (OES00301297)_bin.11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__AKYH767	f__B-17BO	g__UBA2475	s__	98.79	0.476	3675582	3324	154	0.0463
DSGC	FDZ036-Y0-2 (OES00301297)_bin.12	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Stutzerimonas	s__Stutzerimonas	98.65	1.687	4522360	4261	205	0.0481
DSGC	FDZ036-Y0-2 (OES00301297)_bin.20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__	99.5	0	3473677	3108	165	0.0531
DSGC	FDZ036-Y0-2 (OES00301297)_bin.23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Hydrotalea	s__Hydrotalea	98.27	0	3348425	2954	155	0.0525
DSGC	FDZ036-Y0-2 (OES00301297)_bin.36	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Idiomarina	s__Idiomarina	98.41	0.673	2744327	2589	127	0.0491
DSGC	FDZ036-Y0-2 (OES00301297)_bin.40	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Mesonia	s__Mesonia	97.49	0.434	3073610	2890	144	0.0498
DSGC	FDZ036-Y0-2 (OES00301297)_bin.45	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus	99.33	0.331	4555148	4441	174	0.0392
DSGC	FDZ036-Y0-2 (OES00301297)_bin.57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter	97.45	1.242	4768595	4558	200	0.0439
DSGC	FDZ036-Y0-2 (OES00301297)_bin.6	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__	98.9	4.045	4463431	3974	200	0.0503
DSGC	FDZ036-Y2-4 (OES00301298)_bin.11	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter	100	0.071	3962288	3743	166	0.0443
DSGC	FDZ0385-6 (OES00301303)_bin.18	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__UBA8639	g__JACZVJ01	s__JACZVJ01	97.67	2	4300676	4585	307	0.067
DSGC	FDZ0385-6 (OES00301303)_bin.36	d__Bacteria	p__Bacteroidota	c__Rhodothermia	o__Rhodothermales	f__UBA10348	g__SMXL01	s__SMXL01	98	1.129	3440708	3189	175	0.0549
DSGC	FDZ0385-6 (OES00301303)_bin.91	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__SMXJ01	s__SMXJ01	95.24	0.624	2431835	2338	112	0.0479
DSGC	FDZ039-Y14-16 (OES00301306)_bin.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__DRGT01	s__	99.02	0.97	1522323	1941	87	0.0448
DSGC	FDZ039-Y2-4 (OES00301308)_bin.25	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA6615	f__UBA6615	g__	s__	97.02	0.434	3431486	3402	125	0.0367
DSGC	FDZ039-Y2-4 (OES00301308)_bin.54	d__Bacteria	p__Zixibacteria	c__MSB-5A5	o__GN15	f__JACZUZ01	g__JADFNA01	s__	93.34	4.395	2816682	2579	110	0.0427
DSGC	FDZ039-Y8-10 (OES00301316)_bin.11	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas	99.59	0.713	4429013	4139	183	0.0442
DSGC	FDZ039-Y8-10 (OES00301316)_bin.78	d__Bacteria	p__KSB1	c__UBA2214	o__CR04bin15	f__CR04bin15	g__	s__	96.63	2.197	7383928	6400	374	0.0584
DSGC	FDZ039-Y8-10 (OES00301316)_bin.83	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA1151	f__UBA1151	g__GCA-2730555	s__	96.69	0	3240584	3055	143	0.0468
DSGC	FDZ039-Y8-10 (OES00301316)_bin.92	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__SMWK01	s__SMWK01	90.89	2.669	4175581	4227	166	0.0393
DSGC	FDZ039-YBe2-4 (OES00301318)_bin.51	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Alishewanella	s__Alishewanella	100	0.505	3408478	3128	180	0.0575
DSGC	FDZ039-YBe4-6 (OES00301319)_bin.66	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Pseudidiomarina	s__Pseudidiomarina	94.58	0.701	2408767	2244	99	0.0441
DSGC	FDZ041-Be15-20 (OES00301322)_bin.100	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__JAGWBF01	g__	s__	92.73	0.198	2411142	2395	84	0.0351
