GeneCluster	RGC	REG_rate	Mem
DSM_0464396374	DS	0.27 	252
Soil_0032681137	DS	0.26 	265
DSM_0095022659	DS	0.26 	271
Soil_0153762960	DS	0.26 	119
DSM_0060750084	DS	0.26 	96
Soil_0084367425	DS	0.26 	27
Soil_0131447063	DS	0.26 	35
OM-RGC.v2.001380363	DS	0.26 	35
OM-RGC.v2.015377425	DS	0.25 	123
DSM_0279669052	DS	0.25 	151
DSM_0355202185	DS	0.25 	4
DSM_0215593099	DS	0.25 	212
DSM_0195526253	DS	0.25 	8
Soil_0141619461	DS	0.25 	12
Soil_0076421392	DS	0.25 	16
DSM_0162815660	DS	0.25 	4
Soil_0010942769	DS	0.25 	112
DSM_0260830951	DS	0.25 	4
Soil_0135261893	DS	0.25 	48
OM-RGC.v2.024118026	DS	0.25 	12
OM-RGC.v2.030976598	DS	0.25 	12
Soil_0024568301	DS	0.25 	12
DSM_0000039845	DS	0.25 	269
DSM_0130209121	DS	0.25 	242
Soil_0047778146	DS	0.25 	121
DSM_0162391036	DS	0.25 	194
OM-RGC.v2.000860556	DS	0.25 	53
DSM_0138930404	DS	0.24 	221
Soil_0145668260	DS	0.24 	41
DSM_0157786410	DS	0.24 	103
DSM_0016236737	DS	0.24 	186
DSM_0137931454	DS	0.24 	120
Soil_0139114828	DS	0.24 	141
DSM_0396334833	DS	0.24 	83
DSM_0291653339	DS	0.24 	159
Soil_0071249213	DS	0.24 	80
DSM_0116099553	DS	0.24 	38
Soil_0029558126	DS	0.24 	17
OM-RGC.v2.012594210	DS	0.24 	17
Soil_0096470340	DS	0.23 	81
Soil_0154420241	DS	0.23 	137
DSM_0182534409	DS	0.23 	103
DSM_0456550902	DS	0.23 	159
DSM_0255026406	DS	0.23 	86
DSM_0136846202	DS	0.23 	56
Soil_0080090008	DS	0.23 	112
DSM_0062922081	DS	0.23 	91
DSM_0362015945	DS	0.23 	61
Soil_0103195280	DS	0.23 	48
Soil_0092524439	DS	0.23 	83
DSM_0220143641	DS	0.23 	123
DSM_0146231976	DS	0.23 	22
DSM_0036748302	DS	0.23 	22
DSM_0117690764	DS	0.23 	220
DSM_0020304852	DS	0.22 	251
Soil_0056856974	DS	0.22 	162
Soil_0020552755	DS	0.22 	189
Soil_0102710648	DS	0.22 	18
DSM_0064991498	DS	0.22 	90
DSM_0244733916	DS	0.22 	18
DSM_0112233405	DS	0.22 	45
Soil_0099598581	DS	0.22 	9
DSM_0056925796	DS	0.22 	302
DSM_0005367211	DS	0.22 	194
DSM_0346171486	DS	0.22 	77
DSM_0023918404	DS	0.22 	68
Soil_0121869422	DS	0.22 	59
Soil_0145765560	DS	0.22 	150
DSM_0154729073	DS	0.22 	355
DSM_0213076243	DS	0.22 	292
DSM_0374459610	DS	0.22 	96
Soil_0032523859	DS	0.22 	229
DSM_0246377672	DS	0.22 	225
DSM_0326012437	DS	0.22 	138
DSM_0149505273	DS	0.22 	106
Soil_0105127507	DS	0.22 	83
DSM_0044372124	DS	0.22 	351
DSM_0400130673	DS	0.22 	339
DSM_0501159223	DS	0.21 	98
DSM_0161058429	DS	0.21 	42
Soil_0091754283	DS	0.21 	252
DSM_0170608557	DS	0.21 	28
DSM_0310281964	DS	0.21 	291
DSM_0005061376	DS	0.21 	127
DSM_0265011222	DS	0.21 	113
DSM_0311333075	DS	0.21 	99
DSM_0414566468	DS	0.21 	118
Soil_0035657921	DS	0.21 	170
OM-RGC.v2.007292241	DS	0.21 	52
DSM_0215662224	DS	0.21 	459
DSM_0137261416	DS	0.21 	284
DSM_0456399855	DS	0.21 	38
Soil_0123112036	DS	0.21 	19
Soil_0098364612	DS	0.21 	310
DSM_0348864649	DS	0.21 	67
DSM_0463103922	DS	0.21 	24
Soil_0149714149	DS	0.21 	72
DSM_0325970797	DS	0.21 	77
Soil_0054220967	DS	0.21 	29
DSM_0372510427	DS	0.21 	87
DSM_0331171222	DS	0.21 	29
Soil_0064773624	DS	0.21 	29
DSM_0441931850	DS	0.21 	87
Soil_0116819745	DS	0.21 	58
DSM_0068749319	DS	0.21 	87
DSM_0224638445	DS	0.21 	242
DSM_0412908758	DS	0.21 	126
DSM_0083424190	DS	0.21 	63
DSM_0233465741	DS	0.21 	102
DSM_0425125472	DS	0.21 	384
DSM_0150054838	DS	0.21 	73
DSM_0003299361	DS	0.21 	200
DSM_0362805894	DS	0.20 	83
Soil_0003744445	DS	0.20 	285
Soil_0078579775	DS	0.20 	59
Soil_0042488551	DS	0.20 	59
Soil_0109428545	DS	0.20 	286
DSM_0371106921	DS	0.20 	203
DSM_0440574356	DS	0.20 	322
Soil_0072229497	DS	0.20 	239
DSM_0303687266	DS	0.20 	10
Soil_0057595164	DS	0.20 	35
DSM_0224677668	DS	0.20 	95
Soil_0021284494	DS	0.20 	10
OM-RGC.v2.023353902	DS	0.20 	65
Soil_0104837775	DS	0.20 	115
OM-RGC.v2.035173421	DS	0.20 	5
Soil_0100659797	DS	0.20 	5
DSM_0255663453	DS	0.20 	10
DSM_0223654423	DS	0.20 	30
Soil_0088654857	DS	0.20 	15
OM-RGC.v2.043897510	DS	0.20 	5
DSM_0450466740	DS	0.20 	110
Soil_0127439335	DS	0.20 	15
DSM_0181773056	DS	0.20 	235
Soil_0002627348	DS	0.20 	45
Soil_0023429543	DS	0.20 	125
DSM_0272390100	DS	0.20 	160
Soil_0007790562	DS	0.20 	10
DSM_0292605112	DS	0.20 	50
Soil_0081301637	DS	0.20 	5
Soil_0106102911	DS	0.20 	10
DSM_0310833632	DS	0.20 	5
Soil_0096031619	DS	0.20 	141
DSM_0186886693	DS	0.20 	126
DSM_0160054668	DS	0.20 	121
DSM_0074585005	DS	0.20 	232
DSM_0137458445	DS	0.20 	106
DSM_0443136888	DS	0.20 	207
Soil_0102517290	DS	0.20 	91
Soil_0035581554	DS	0.20 	86
Soil_0062286275	DS	0.20 	304
Soil_0132594657	DS	0.20 	71
DSM_0107247297	DS	0.20 	208
DSM_0405743550	DS	0.20 	61
DSM_0136714378	DS	0.20 	204
DSM_0001939281	DS	0.20 	352
DSM_0208365268	DS	0.20 	46
DSM_0193083480	DS	0.20 	46
DSM_0339443150	DS	0.20 	87
Soil_0109550122	DS	0.20 	174
DSM_0177065583	DS	0.20 	41
DSM_0337465481	DS	0.19 	349
DSM_0378055767	DS	0.19 	257
DSM_0207629364	DS	0.19 	180
Soil_0127081877	DS	0.19 	309
DSM_0443012933	DS	0.19 	191
DSM_0328620960	DS	0.19 	259
DSM_0339732298	DS	0.19 	171
DSM_0481154835	DS	0.19 	171
DSM_0309547019	DS	0.19 	254
DSM_0310407740	DS	0.19 	239
Soil_0122925848	DS	0.19 	52
Soil_0097070681	DS	0.19 	52
DSM_0334737293	DS	0.19 	156
OM-RGC.v2.009225822	DS	0.19 	120
OM-RGC.v2.000171480	DS	0.19 	47
DSM_0147085937	DS	0.19 	115
DSM_0315448738	DS	0.19 	225
DSM_0413337500	DS	0.19 	131
DSM_0470509681	DS	0.19 	215
DSM_0477078683	DS	0.19 	257
DSM_0457799497	DS	0.19 	21
DSM_0480662739	DS	0.19 	21
Soil_0137355266	DS	0.19 	21
DSM_0360771874	DS	0.19 	210
DSM_0325180603	DS	0.19 	368
DSM_0461042981	DS	0.19 	121
DSM_0381517548	DS	0.19 	342
DSM_0007265988	DS	0.19 	137
Soil_0012111695	DS	0.19 	58
DSM_0027707265	DS	0.19 	438
DSM_0358246888	DS	0.19 	37
DSM_0304080038	DS	0.19 	191
DSM_0441538862	DS	0.19 	170
DSM_0140894868	DS	0.19 	85
DSM_0009362600	DS	0.19 	160
DSM_0446310703	DS	0.19 	16
Soil_0102982913	DS	0.19 	16
DSM_0092903539	DS	0.19 	16
Soil_0096660377	DS	0.19 	16
DSM_0491832778	DS	0.19 	155
Soil_0011911006	DS	0.19 	91
DSM_0481428407	DS	0.19 	273
DSM_0366953350	DS	0.19 	225
Soil_0096509027	DS	0.19 	150
DSM_0353371665	DS	0.19 	247
Soil_0099851137	DS	0.19 	43
Soil_0117839064	DS	0.19 	156
Soil_0124458246	DS	0.19 	286
OM-RGC.v2.013869556	DS	0.19 	108
Soil_0017424746	DS	0.19 	27
DSM_0109977356	DS	0.19 	27
Soil_0005303945	DS	0.19 	27
DSM_0368809442	DS	0.19 	281
Soil_0061658861	DS	0.18 	206
DSM_0115864308	DS	0.18 	282
DSM_0146876736	DS	0.18 	255
DSM_0187670000	DS	0.18 	152
DSM_0169757819	DS	0.18 	364
Soil_0154836634	DS	0.18 	163
DSM_0245895182	DS	0.18 	164
DSM_0317314251	DS	0.18 	93
DSM_0498591237	DS	0.18 	417
DSM_0450405499	DS	0.18 	181
DSM_0452279746	DS	0.18 	225
DSM_0373871134	DS	0.18 	368
OM-RGC.v2.038333838	DS	0.18 	11
Soil_0116574513	DS	0.18 	11
DSM_0098610582	DS	0.18 	66
Soil_0104967925	DS	0.18 	11
Soil_0137616942	DS	0.18 	66
DSM_0064635503	DS	0.18 	22
DSM_0020928819	DS	0.18 	99
DSM_0170284169	DS	0.18 	88
Soil_0130336832	DS	0.18 	11
OM-RGC.v2.027155446	DS	0.18 	11
OM-RGC.v2.025367506	DS	0.18 	11
OM-RGC.v2.013194408	DS	0.18 	55
Soil_0084999902	DS	0.18 	11
DSM_0063903096	DS	0.18 	342
Soil_0076201300	DS	0.18 	265
DSM_0130541723	DS	0.18 	116
DSM_0052015401	DS	0.18 	94
DSM_0489870943	DS	0.18 	155
DSM_0359285548	DS	0.18 	194
DSM_0346461031	DS	0.18 	344
Soil_0015046322	DS	0.18 	111
DSM_0421820748	DS	0.18 	200
DSM_0227889829	DS	0.18 	228
Soil_0005287533	DS	0.18 	228
DSM_0091762934	DS	0.18 	178
Soil_0126009969	DS	0.18 	117
DSM_0273309984	DS	0.18 	280
Soil_0043914404	DS	0.18 	129
DSM_0192348124	DS	0.18 	230
Soil_0077812277	DS	0.18 	101
DSM_0032033638	DS	0.18 	275
Soil_0105726434	DS	0.18 	158
DSM_0246006879	DS	0.18 	181
Soil_0103194021	DS	0.18 	136
DSM_0144315833	DS	0.18 	51
DSM_0463815603	DS	0.18 	17
DSM_0501737775	DS	0.18 	51
Soil_0078819979	DS	0.18 	34
DSM_0138909006	DS	0.18 	34
Soil_0039675194	DS	0.18 	17
DSM_0142988791	DS	0.18 	34
DSM_0019477161	DS	0.18 	17
Soil_0107072055	DS	0.18 	159
DSM_0428791382	DS	0.18 	159
DSM_0264549151	DS	0.18 	222
DSM_0181400582	DS	0.18 	120
OM-RGC.v2.026120495	DS	0.18 	120
Soil_0158906686	DS	0.18 	40
DSM_0063621865	DS	0.17 	349
Soil_0142919333	DS	0.17 	189
Soil_0158920959	DS	0.17 	252
DSM_0136830846	DS	0.17 	390
Soil_0111567894	DS	0.17 	109
DSM_0140612913	DS	0.17 	287
Soil_0116792922	DS	0.17 	23
DSM_0441280637	DS	0.17 	253
Soil_0114481044	DS	0.17 	207
DSM_0009590190	DS	0.17 	23
Soil_0010077220	DS	0.17 	115
Soil_0029761519	DS	0.17 	23
DSM_0064065632	DS	0.17 	138
Soil_0082014107	DS	0.17 	144
DSM_0413369290	DS	0.17 	98
DSM_0445046705	DS	0.17 	300
DSM_0344075607	DS	0.17 	214
DSM_0214307331	DS	0.17 	203
Soil_0107288453	DS	0.17 	29
DSM_0130387787	DS	0.17 	29
DSM_0354176541	DS	0.17 	238
Soil_0008685779	DS	0.17 	99
Soil_0045957489	DS	0.17 	99
DSM_0349244043	DS	0.17 	315
DSM_0404573624	DS	0.17 	35
DSM_0356141000	DS	0.17 	199
DSM_0021292714	DS	0.17 	123
DSM_0211943984	DS	0.17 	41
DSM_0133057034	DS	0.17 	88
DSM_0398835797	DS	0.17 	346
DSM_0374881994	DS	0.17 	182
DSM_0001530571	DS	0.17 	47
Soil_0015408492	DS	0.17 	235
DSM_0432739882	DS	0.17 	47
DSM_0433433056	DS	0.17 	259
Soil_0005017136	DS	0.17 	53
DSM_0120850769	DS	0.17 	318
DSM_0356715703	DS	0.17 	159
DSM_0030414241	DS	0.17 	289
DSM_0129851605	DS	0.17 	118
Soil_0102659156	DS	0.17 	59
DSM_0364169201	DS	0.17 	360
DSM_0090055051	DS	0.17 	124
DSM_0019002288	DS	0.17 	195
OM-RGC.v2.016266774	DS	0.17 	71
Soil_0155496900	DS	0.17 	148
DSM_0157996933	DS	0.17 	160
DSM_0336794077	DS	0.17 	77
Soil_0153726185	DS	0.17 	89
DSM_0339630981	DS	0.17 	226
Soil_0067148032	DS	0.17 	113
DSM_0429731767	DS	0.17 	256
DSM_0210146672	DS	0.17 	364
DSM_0092441928	DS	0.17 	406
DSM_0161753060	DS	0.17 	269
DSM_0403174500	DS	0.17 	54
Soil_0102824769	DS	0.17 	60
Soil_0139238812	DS	0.17 	6
Soil_0128793547	DS	0.17 	30
DSM_0160359453	DS	0.17 	192
DSM_0398707215	DS	0.17 	102
DSM_0253826890	DS	0.17 	42
Soil_0146049984	DS	0.17 	12
Soil_0140069524	DS	0.17 	66
Soil_0125547317	DS	0.17 	12
Soil_0107181321	DS	0.17 	90
DSM_0325598953	DS	0.17 	6
Soil_0127972090	DS	0.17 	60
Soil_0139702184	DS	0.17 	6
DSM_0253074977	DS	0.17 	342
Soil_0149347264	DS	0.17 	12
Soil_0046172798	DS	0.17 	18
Soil_0035421451	DS	0.17 	18
DSM_0341370365	DS	0.17 	42
DSM_0108655023	DS	0.17 	48
DSM_0076511254	DS	0.17 	120
DSM_0429108013	DS	0.17 	391
DSM_0225491865	DS	0.17 	193
Soil_0053318466	DS	0.17 	350
DSM_0223134085	DS	0.17 	302
Soil_0119495189	DS	0.17 	163
Soil_0035931636	DS	0.17 	127
DSM_0269316261	DS	0.17 	115
DSM_0436009317	DS	0.17 	333
OM-RGC.v2.038085730	DS	0.16 	97
DSM_0067526577	DS	0.16 	334
DSM_0070471746	DS	0.16 	243
Soil_0076589078	DS	0.16 	389
DSM_0462831256	DS	0.16 	365
DSM_0282102992	DS	0.16 	298
Soil_0014429044	DS	0.16 	225
DSM_0130890667	DS	0.16 	274
Soil_0128094239	DS	0.16 	67
DSM_0419586963	DS	0.16 	116
DSM_0345740885	DS	0.16 	110
Soil_0119274463	DS	0.16 	104
DSM_0475463631	DS	0.16 	343
Soil_0126804949	DS	0.16 	196
Soil_0122282066	DS	0.16 	288
DSM_0142984565	DS	0.16 	362
DSM_0122904584	DS	0.16 	92
DSM_0271489201	DS	0.16 	129
DSM_0100308972	DS	0.16 	375
OM-RGC.v2.028150546	DS	0.16 	80
DSM_0025429646	DS	0.16 	111
DSM_0166717480	DS	0.16 	37
Soil_0000285391	DS	0.16 	37
DSM_0429283444	DS	0.16 	142
Soil_0102523507	DS	0.16 	340
DSM_0430357913	DS	0.16 	68
Soil_0058861045	DS	0.16 	328
DSM_0082910510	DS	0.16 	223
Soil_0119958965	DS	0.16 	62
DSM_0215936018	DS	0.16 	217
Soil_0014533021	DS	0.16 	31
Soil_0099201059	DS	0.16 	87
DSM_0080384626	DS	0.16 	87
OM-RGC.v2.015245872	DS	0.16 	81
DSM_0065632311	DS	0.16 	181
DSM_0096046821	DS	0.16 	381
Soil_0129582077	DS	0.16 	200
Soil_0154912595	DS	0.16 	25
Soil_0102423413	DS	0.16 	25
Soil_0152223836	DS	0.16 	25
Soil_0118028327	DS	0.16 	100
Soil_0127300644	DS	0.16 	25
DSM_0071648384	DS	0.16 	75
DSM_0049675022	DS	0.16 	25
DSM_0463073127	DS	0.16 	75
Soil_0049076290	DS	0.16 	244
Soil_0140788247	DS	0.16 	326
DSM_0120787799	DS	0.16 	295
DSM_0163442589	DS	0.16 	308
Soil_0086639001	DS	0.16 	88
DSM_0236542549	DS	0.16 	195
Soil_0140992495	DS	0.16 	214
DSM_0306372117	DS	0.16 	208
DSM_0305524328	DS	0.16 	82
DSM_0301314749	DS	0.16 	82
DSM_0185956409	DS	0.16 	82
Soil_0087551662	DS	0.16 	101
Soil_0042868746	DS	0.16 	221
DSM_0063346236	DS	0.16 	259
Soil_0107934128	DS	0.16 	38
DSM_0404955405	DS	0.16 	19
DSM_0113143290	DS	0.16 	19
DSM_0156025060	DS	0.16 	393
DSM_0001012264	DS	0.16 	298
DSM_0471119470	DS	0.16 	305
DSM_0464100899	DS	0.16 	108
Soil_0053796345	DS	0.16 	70
Soil_0046717888	DS	0.16 	350
DSM_0385147771	DS	0.16 	172
Soil_0142424741	DS	0.16 	51
DSM_0164292456	DS	0.16 	51
OM-RGC.v2.002516552	DS	0.16 	249
Soil_0000008567	DS	0.16 	115
DSM_0101907816	DS	0.16 	32
DSM_0302807464	DS	0.16 	32
DSM_0487361450	DS	0.16 	128
Soil_0005510850	DS	0.16 	64
DSM_0302634826	DS	0.16 	282
DSM_0200450445	DS	0.16 	430
DSM_0116129067	DS	0.16 	77
Soil_0140471557	DS	0.16 	45
DSM_0281739348	DS	0.16 	45
Soil_0052099825	DS	0.16 	206
DSM_0218015418	DS	0.16 	264
DSM_0015534305	DS	0.16 	322
DSM_0462991525	DS	0.16 	58
Soil_0081171077	DS	0.16 	316
OM-RGC.v2.000688969	DS	0.16 	129
DSM_0053814706	DS	0.15 	239
Soil_0124359259	DS	0.15 	84
OM-RGC.v2.020966720	DS	0.15 	155
DSM_0170449836	DS	0.15 	278
Soil_0132539048	DS	0.15 	362
Soil_0147247566	DS	0.15 	181
Soil_0145032424	DS	0.15 	375
OM-RGC.v2.020302127	DS	0.15 	207
DSM_0236790574	DS	0.15 	220
DSM_0295572286	DS	0.15 	175
DSM_0496114305	DS	0.15 	188
Soil_0070407243	DS	0.15 	162
Soil_0104084972	DS	0.15 	402
Soil_0100136341	DS	0.15 	143
Soil_0059940553	DS	0.15 	26
OM-RGC.v2.006626181	DS	0.15 	26
DSM_0469319042	DS	0.15 	13
Soil_0092213606	DS	0.15 	338
OM-RGC.v2.021840452	DS	0.15 	26
DSM_0223758881	DS	0.15 	65
OM-RGC.v2.016204603	DS	0.15 	26
Soil_0047145830	DS	0.15 	13
Soil_0102896462	DS	0.15 	130
Soil_0076009421	DS	0.15 	39
DSM_0362604465	DS	0.15 	52
DSM_0232146481	DS	0.15 	293
Soil_0024073088	DS	0.15 	137
DSM_0492565309	DS	0.15 	150
DSM_0139933241	DS	0.15 	372
DSM_0137528284	DS	0.15 	111
DSM_0205389164	DS	0.15 	124
DSM_0340502461	DS	0.15 	124
DSM_0333404262	DS	0.15 	209
Soil_0062736028	DS	0.15 	85
DSM_0151979869	DS	0.15 	197
OM-RGC.v2.030612335	DS	0.15 	46
Soil_0155516985	DS	0.15 	217
OM-RGC.v2.000518992	DS	0.15 	224
DSM_0366846519	DS	0.15 	132
DSM_0135752742	DS	0.15 	99
DSM_0331587373	DS	0.15 	33
Soil_0126152416	DS	0.15 	66
Soil_0142996667	DS	0.15 	33
DSM_0095673022	DS	0.15 	172
Soil_0033122178	DS	0.15 	106
OM-RGC.v2.014642776	DS	0.15 	305
DSM_0363833734	DS	0.15 	73
DSM_0143698532	DS	0.15 	166
DSM_0283868971	DS	0.15 	239
DSM_0239952345	DS	0.15 	359
DSM_0342247494	DS	0.15 	113
DSM_0125084124	DS	0.15 	266
DSM_0096411536	DS	0.15 	273
DSM_0473004239	DS	0.15 	40
Soil_0052022528	DS	0.15 	200
Soil_0109337733	DS	0.15 	160
DSM_0496392253	DS	0.15 	100
Soil_0074534831	DS	0.15 	194
DSM_0259060104	DS	0.15 	107
DSM_0319065656	DS	0.15 	201
Soil_0097325179	DS	0.15 	201
DSM_0378356539	DS	0.15 	248
DSM_0202819614	DS	0.15 	382
DSM_0500087091	DS	0.15 	262
DSM_0482349784	DS	0.15 	47
Soil_0050429428	DS	0.15 	47
Soil_0144738339	DS	0.15 	94
DSM_0262136241	DS	0.15 	141
DSM_0185348093	DS	0.15 	121
DSM_0199879883	DS	0.15 	195
DSM_0275203408	DS	0.15 	195
DSM_0205944749	DS	0.15 	296
DSM_0163627741	DS	0.15 	357
DSM_0099100815	DS	0.15 	101
DSM_0136308942	DS	0.15 	155
DSM_0167859158	DS	0.15 	418
DSM_0319703263	DS	0.15 	81
DSM_0182079356	DS	0.15 	324
Soil_0126659522	DS	0.15 	243
DSM_0261246688	DS	0.15 	108
DSM_0081215003	DS	0.15 	81
DSM_0199287653	DS	0.15 	169
DSM_0448279199	DS	0.15 	142
DSM_0313712139	DS	0.15 	88
DSM_0031639544	DS	0.15 	88
Soil_0022460817	DS	0.15 	88
DSM_0438312120	DS	0.15 	237
DSM_0093637446	DS	0.15 	332
Soil_0047968256	DS	0.15 	61
DSM_0046011728	DS	0.15 	61
DSM_0161074480	DS	0.15 	156
DSM_0205727074	DS	0.15 	251
DSM_0303000386	DS	0.15 	312
DSM_0454193185	DS	0.15 	197
Soil_0070698833	DS	0.15 	102
Soil_0035698309	DS	0.15 	136
DSM_0087495110	DS	0.15 	34
DSM_0056498718	DS	0.15 	34
DSM_0136824029	DS	0.15 	34
DSM_0195659402	DS	0.15 	34
Soil_0127500459	DS	0.15 	102
Soil_0073651672	DS	0.15 	109
DSM_0370968509	DS	0.15 	75
DSM_0263567428	DS	0.15 	225
DSM_0357437165	DS	0.15 	75
DSM_0411761648	DS	0.15 	116
OM-RGC.v2.040343583	DS	0.15 	130
DSM_0104128473	DS	0.15 	178
Soil_0098345724	DS	0.15 	89
DSM_0318758933	DS	0.15 	137
DSM_0395969947	DS	0.15 	233
DSM_0233959852	DS	0.15 	185
DSM_0368457815	DS	0.15 	103
Soil_0006311169	DS	0.15 	103
DSM_0374502292	DS	0.15 	103
DSM_0337370725	DS	0.15 	234
Soil_0044282705	DS	0.15 	62
DSM_0405423263	DS	0.15 	62
DSM_0368576449	DS	0.15 	124
DSM_0480309396	DS	0.15 	62
DSM_0108834927	DS	0.14 	69
Soil_0054455389	DS	0.14 	366
DSM_0118078996	DS	0.14 	159
Soil_0102705064	DS	0.14 	83
DSM_0401883595	DS	0.14 	83
DSM_0219428564	DS	0.14 	270
DSM_0029893763	DS	0.14 	305
DSM_0237805084	DS	0.14 	97
OM-RGC.v2.027599543	DS	0.14 	97
DSM_0455071744	DS	0.14 	319
DSM_0340437069	DS	0.14 	104
DSM_0269020208	DS	0.14 	139
DSM_0336975071	DS	0.14 	417
Soil_0120661808	DS	0.14 	327
Soil_0110059150	DS	0.14 	237
DSM_0037582424	DS	0.14 	230
DSM_0478314704	DS	0.14 	328
DSM_0345122144	DS	0.14 	14
DSM_0074253508	DS	0.14 	56
DSM_0275554587	DS	0.14 	7
Soil_0099298998	DS	0.14 	42
OM-RGC.v2.020870757	DS	0.14 	28
DSM_0022756498	DS	0.14 	14
Soil_0025938597	DS	0.14 	133
DSM_0494969536	DS	0.14 	49
DSM_0085308337	DS	0.14 	14
Soil_0148919325	DS	0.14 	7
Soil_0064989845	DS	0.14 	7
Soil_0085409975	DS	0.14 	28
DSM_0456343027	DS	0.14 	14
DSM_0321207386	DS	0.14 	14
DSM_0293990166	DS	0.14 	7
Soil_0081779402	DS	0.14 	7
DSM_0222898251	DS	0.14 	280
Soil_0019666986	DS	0.14 	7
OM-RGC.v2.000376994	DS	0.14 	14
DSM_0483105839	DS	0.14 	161
Soil_0028406784	DS	0.14 	7
DSM_0300107243	DS	0.14 	84
Soil_0142144427	DS	0.14 	35
Soil_0156906185	DS	0.14 	35
DSM_0146316125	DS	0.14 	56
Soil_0135083628	DS	0.14 	63
Soil_0144287563	DS	0.14 	7
Soil_0036102309	DS	0.14 	28
DSM_0118234225	DS	0.14 	56
Soil_0131660572	DS	0.14 	7
Soil_0031895748	DS	0.14 	77
DSM_0356634142	DS	0.14 	119
Soil_0020508778	DS	0.14 	7
OM-RGC.v2.010582571	DS	0.14 	280
OM-RGC.v2.015271181	DS	0.14 	91
DSM_0239621446	DS	0.14 	217
Soil_0115150467	DS	0.14 	175
Soil_0141845615	DS	0.14 	400
DSM_0197297474	DS	0.14 	359
DSM_0446545160	DS	0.14 	317
DSM_0452169535	DS	0.14 	261
DSM_0309270350	DS	0.14 	127
Soil_0133218018	DS	0.14 	113
Soil_0045698187	DS	0.14 	113
